TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
CRPG3;62,03;1,42;9,76;2,47;1,69;36,04;18,15;25,21;13,56;11,51;-2,96;-0,54;2,46;2,67;-7,79;5,27;25,34;17,34;10,61;0,68;0,32;0,69;15,93;;16.774,71;25,08;6,36;0,14;1.921.870.730,95
CRPG5;68,49;1,29;10,78;2,73;1,87;36,04;18,15;25,21;14,97;11,51;-2,96;-0,54;2,72;2,95;-8,60;5,27;25,34;17,34;10,61;0,68;0,32;0,69;15,93;;958.643,65;25,08;6,36;0,16;1.921.870.730,95
CRPG6;64,49;1,37;10,15;2,57;1,76;36,04;18,15;25,21;14,09;11,51;-2,96;-0,54;2,56;2,78;-8,10;5,27;25,34;17,34;10,61;0,68;0,32;0,69;15,93;;115.507,28;25,08;6,36;0,15;1.921.870.730,95
CSAB3;65,80;;9,90;2,54;1,26;169,17;1.391,38;1.507,38;10,73;7,15;;;149,25;12,40;-1,54;2,24;25,66;12,70;;0,49;0,51;0,01;-41,88;2,02;18.090,43;25,90;6,65;0,05;336.960.000,00
CSAB4;21,95;;3,30;0,85;0,42;169,17;1.391,38;1.507,38;3,58;7,15;;;49,79;4,14;-0,51;2,24;25,66;12,70;;0,49;0,51;0,01;-41,88;2,02;25.830,67;25,90;6,65;0,02;336.960.000,00
CSAN3;21,86;2,89;12,02;0,89;0,29;27,34;17,98;6,31;4,22;8,70;4,48;0,95;0,76;2,04;-0,42;1,78;7,40;2,38;8,04;0,32;0,68;0,38;10,10;0,61;195.631.043,81;24,56;1,82;-0,19;10.241.797.643,38
CSED3;12,30;;-134,98;10,39;1,28;47,92;9,77;-1,93;26,70;33,30;6,59;2,56;2,61;-52,18;-1,46;0,83;-7,70;-0,95;9,18;0,12;0,88;0,49;;;4.138.031,19;1,18;-0,09;1,05;4.696.413.552,00
CSMG3;17,12;16,44;7,44;0,98;0,55;44,84;24,20;16,09;4,94;6,98;2,03;0,41;1,20;14,97;-0,67;1,25;13,24;7,38;9,83;0,56;0,44;0,46;6,86;;43.670.396,85;17,39;2,30;0,37;6.509.932.541,28
CSNA3;50,74;1,29;6,77;4,89;1,01;41,91;34,92;28,37;5,50;6,75;1,25;1,11;1,92;5,32;-1,76;1,80;72,25;14,92;21,59;0,21;0,75;0,53;14,52;;580.761.456,92;10,37;7,49;0,00;70.402.970.144,78
CSRN3;16,00;10,61;7,22;1,88;0,55;22,69;17,01;12,81;5,43;8,52;3,14;1,09;0,92;4,96;-0,73;1,90;26,01;7,69;12,44;0,30;0,70;0,60;9,71;12,94;39.652,88;8,53;2,22;0,29;2.662.354.981,70
